english_sentence,hindi_sentence
No properties available for this target,इस प्लगइन के लिए कोई वर्णन उपलब्ध नहीं है
Target properties,कड़ी की विशेषताएँ
Group properties,कड़ी की विशेषताएँ
No properties available for this group,इस प्लगइन के लिए कोई वर्णन उपलब्ध नहीं है
% sTarget:% s,टैग
Are you sure you want to remove the following from project?,"क्या आप निश्चित ही ""% s"" को ट्रेश से स्थायी तौर पर डिलीट करना चाहते हैं"
_ Project,प्रोजेक्ट
_ Properties,विशेषताएँ
Add _ Group...,समूह
Add a group to project,प्रोजेक्ट में सोर्स जोड़ें
Add _ Target...,टैग
Add a target to project,प्रोजेक्ट में सोर्स जोड़ें
Add _ Source File...,सोर्स जोड़ें
Add a source file to project,प्रोजेक्ट से सोर्स हटाएं
Close Pro _ ject,प्रोजेक्ट बंद करें
Close project,प्रोजेक्ट बंद करें
_ Add To Project,प्रोजेक्ट में सोर्स जोड़ें
Add _ Group,समूह
Add _ Target,टैग
Add _ Source File,सोर्स जोड़ें
Re _ move,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#हटाओ #-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#हटाएं #-#-#-#-#gnome-session. HEAD. hi. po (gnome-session VERSION) #-#-#-#-#हटाएं #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#हटाओ #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#हटाएँ
Remove from project,प्रोजेक्ट से सोर्स हटाएं
Loading project:% s,प्रोजेक्ट खोलें
Created project view...,एक नया प्रोजेक्ट बनाएं
Project,प्रोजेक्ट
Error closing project:% s,आइकान को लोड करने में त्रुटि% s
Project manager actions,जी टी के रचना
Project manager popup actions,अंजूटा प्रोजेक्ट मैनेजर फैक्ट्री
Loaded Project... Initializing,प्रोजेक्ट खोलें
Loaded Project...,फाइल% d लोड हो रही है
Project description:,संक्षिप्त विवरण
Application Wizard,#-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#अनुप्रयोग #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#उपयोग के लिए
Author:,लेखक
Basic Information,बाल्सा सूचना
Destination:,#-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#विवरण #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#विवरणः
Enter the basic Project information,लान्चर सूचना का सम्पादन करें
Project Name:,प्रोजेक्ट प्लान
Project Type,प्रोजेक्ट
Version:,सत्रें
Confim the following information:,सूचना दिखाने वाली लकीर
Project Type:,प्रोजेक्ट
Unable to find any project template in% s,प्रोजेक्ट लोड करने में असमर्थ
"File ""% s"" already exists. Do you want to overwrite it?",यह फाइल मौजूद नहीं है। क्या आप इस फाइल का निर्माण करना चाहते हैं? 
Unable to build project wizard user interface,पियर से प्रमाण पत्र लेने में असमर्थ
New project has been created successfully,सफलतापूर्वक फ्लापी को फार्मेट किया
Creating% s (using AutoGen)...% s,प्ले प्रगति पर
Creating% s...% s,समायोजन
Executing:,क्रियान्वित करें
New Project Wizard,नया प्रोजेक्ट बनाएं
Add internationalization:,कार्य के
Add shared library support:,विघटित लायब्रेरी
Basic information,बाल्सा सूचना
Configure external packages,बाल्सा को कान्फिगर करो
Configure external packages:,बाल्सा को कान्फिगर करो
Create glade interface file,पियर से प्रमाण पत्र लेने में असमर्थ
Django Project information,जानकारी
Email address:,ई-मेल पता
General Project Information,जानकारी
General Project Infromation,जानकारी
Icon File:,हाल में ही प्रयोग की गई फाइलें
Interface:,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#फोन्ट नाम #-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#फोन्ड नाम #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#फोन्ट नाम
License,लकीर
Main Class:,निर्देश पुस्तिका
Main class,निर्देश पुस्तिका
No license,लकीर
Plugin Class Name:,रंग का नाम
Plugin Description:,#-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#विवरण #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#विवरणः
Plugin class name,रंग का नाम
Project directory:,डायरेक्टरी नहीं है
Project name:,प्रोजेक्ट प्लान
Project options,विशेषताएँ
Select code license,फोकस करने पर चयन करें
Value Name:,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#नामः #-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#नाम: 
project name,प्रोजेक्ट प्लान
_ Sample action,टैग लिस्ट प्लगइन
Sample action,टैग लिस्ट प्लगइन
Sample file operations,डिस्क के उन्नत विकल्पों को छुपाओ
SamplePlugin,टैग लिस्ट प्लगइन
Actions,श्रेणी
File Filter,स्तर छोडें (_ l) 
Parameters,श्रेणी
Search Variable,अनियत चौड़ाई
Backward,पीछे की तरफ
Basic Search & Replace,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#इसी स्ट्रिंग को पुनः खोजें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#वही स्ट्रिंग को पुन खोजें
Choose Directories:,डायरेक्टरी का निर्माण करें
Choose Files:,फाइल कापी करें
Find & Replace,ढूंढो और बदलो
Ignore Binary Files,एक फाइल प्रविष्ट करें
Ignore Directories:,डायरेक्टरी का निर्माण करें
Ignore Files:,लछ्य फाइल
Ignore Hidden Directories,यह एक डायरेक्टरी है
Ignore Hidden Files,एक फाइल प्रविष्ट करें
Max. Actions,विकल्पों को सन्ग्रहित करे
Modify,सुधार
New Name:,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#नामः #-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#नाम: 
No Limit,सूचना
Regular Expression,रेग्युलर एक्सप्रेशन
Replace With:,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बदलें/परिवर्तित करें #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#बदलो #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#बदलना
Search Action:,खोज का तरीका
Search Direction:,दिशा
Search Expression,रेग्युलर एक्सप्रेशन खोजना
Search Expression:,रेग्युलर एक्सप्रेशन खोजना
Search In:,खोजें
Search Target,खोज का तरीका
Setting,समायोजन
_ Search,खोजें
_ Find...,#-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#ढूंढो (F) #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#खोजें
Search for a string or regular expression in the editor,रेग्युलर एक्सप्रेशन के सिन्टेक्स में गलती है
Find _ Next,अगला खोजें
Repeat the last Find command,ध्वनि को दोहराएं
Find and R _ eplace...,ढूंढो और बदलो
Advanced Search And Replace,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#इसी स्ट्रिंग को पुनः खोजें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#वही स्ट्रिंग को पुन खोजें
New advance search And replace stuff,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#इसी स्ट्रिंग को पुनः खोजें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#वही स्ट्रिंग को पुन खोजें
_ Enter Selection / I - Search,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#फोन्ट चयन #-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#फोन्ट चयन #-#-#-#-#libgnomeprintui. gnome-2-2. hi. po (libgnomeprintui) #-#-#-#-#फोन्ट का चयन
Enter the selected text as the search target,क्लिपबोर्ड से चुने हुए टेक्स्ट को काटें
Fin _ d in Files...,फ़ाइल को जोडे... (_ F) 
Ne _ xt Occurrence,रैण्डर होने वाला पाठ्य
Find the next occurrence of current word,शब्द की सभी पुनरावत्तियों को छोड़ें
Pre _ vious Occurrence,पिछला ध्वनि पथ
Find the previous occurrence of current word,शब्द की सभी पुनरावत्तियों को छोड़ें
Searching...,ढूंढ रहा है... 
Incremental search,अंजूटा हैल्प ब्राउजर
Search Toolbar,खोज का तरीका
Basic Search,खोजें
Default,डिफाल्ट बनाएं
Name,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#नामः #-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#नाम: 
Find:,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#खोजें #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#ढूंढो #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#ढूंडो #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#खोजें
Replace,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बदलें/परिवर्तित करें #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#बदलो #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#बदलना
Search complete,वर्तमान फाइल संग्रहित करें
Replace All,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बदलें/परिवर्तित करें #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#बदलो #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#बदलना
"The match ""% s"" was not found. Wrap search around the document?","पाठ्य ""% s"" नहीं मिला था"
"The match ""% s"" was not found.","चुने हुए आयटम को खोलने के लिए ""% s"" का उपयोग करें"
Unable to build user interface for Search And Replace,पियर से प्रमाण पत्र लेने में असमर्थ
Could not obtain backup filename,फाइल% s नहीं मिली
Loading,फाइल% d लोड हो रही है
Saving...,फाइल% d लोड हो रही है
Colors:,दुसरे ओप्शन्स
Font:,#-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#टिप्पणी: #-#-#-#-#libgnomeprintui. gnome-2-2. hi. po (libgnomeprintui) #-#-#-#-#टिप्पणीः
Background:,पार्श्व समायोजन
